# n_subhalo mass[Msun] radius[Mpc] sigma_p sigma_3D cm_vel_offset[km/s] dot_vel
6651 2.487388e+13 0.599910 271.966614 503.692568 8.258081 0.999458
489 2.404114e+12 0.275314 126.044243 223.911395 2.093302 0.999997
423 4.350457e+12 0.335505 146.746765 280.616260 1.923437 0.999916
1044 3.843051e+12 0.321903 196.678116 317.986152 33.380249 0.989613
414 4.784047e+12 0.346280 184.714462 293.286034 7.893915 0.999747
987 7.723222e+12 0.406241 181.538528 334.030593 26.815102 0.996065
741 5.442317e+12 0.361492 189.313919 307.419546 7.237962 0.999666
6288 4.049504e+13 0.705715 375.230560 595.480660 0.548795 0.999995
903 4.087645e+12 0.328599 187.190063 308.316820 20.175594 0.999651
486 4.574194e+12 0.341150 157.409988 282.081653 1.231377 0.999997
714 3.761542e+12 0.319615 162.956146 280.124301 0.379545 0.999999
1134 5.788194e+12 0.369001 192.157608 312.466234 10.482336 0.998824
3828 3.352970e+13 0.662684 298.588898 563.233964 10.479600 0.998904
1458 6.819686e+12 0.389728 177.425079 363.248508 10.836989 0.999642
1389 9.030809e+12 0.427957 191.943146 340.262380 4.215292 0.999959
6252 4.235911e+13 0.716391 356.273010 582.519258 4.080532 0.999814
549 6.313369e+12 0.379826 154.409561 316.721481 1.641877 0.999979
2082 1.349262e+13 0.489264 230.694580 398.678374 1.503922 0.999924
381 3.995722e+12 0.326112 128.541458 275.841180 11.180838 0.999333
2658 1.266114e+13 0.478998 236.540421 399.620214 2.648604 0.999882
951 5.415223e+12 0.360883 175.953964 282.823600 11.059312 0.997757
5241 1.648125e+13 0.522990 231.022324 450.021478 25.296135 0.995868
810 5.503518e+12 0.362836 175.976654 298.582014 3.070684 0.999906
603 5.010304e+12 0.351676 187.945953 306.580746 8.607765 0.999021
6699 3.684526e+13 0.683869 285.247528 557.627867 12.929850 0.999245
4350 2.772906e+13 0.622031 259.793488 506.894801 9.523210 0.999124
4533 2.616074e+13 0.610090 272.681000 481.663404 48.300217 0.993797
1239 9.722530e+12 0.438634 215.537613 366.070777 3.078982 0.999956
450 4.911073e+12 0.349338 139.933594 279.116278 4.442587 0.999951
756 4.132492e+12 0.329793 157.853516 274.978864 1.409558 0.999990
480 5.468132e+12 0.362049 176.791519 292.931802 0.461406 1.000000
552 4.613911e+12 0.342121 146.391632 273.447160 0.534421 0.999995
609 2.727178e+12 0.287122 166.205719 285.435009 11.009019 0.999550
918 2.929878e+12 0.294077 178.274963 270.086845 15.194262 0.999702
1962 1.470614e+13 0.503509 263.272247 399.173023 3.585069 0.999987
546 4.103553e+12 0.329028 171.136200 279.101940 7.428694 0.997557
798 3.329138e+12 0.306866 129.723343 252.906733 2.465618 0.999961
900 6.444269e+12 0.382449 205.418823 315.534591 0.882148 0.999969
1878 1.172081e+13 0.466824 193.259109 371.759731 6.399606 0.997533
1536 6.481675e+12 0.383169 191.873138 316.258996 5.504452 0.999722
429 3.713035e+12 0.318227 131.184998 240.501917 4.486728 0.999945
810 5.503518e+12 0.362836 175.976654 298.582014 3.070684 0.999906
3246 6.132393e+12 0.376168 235.497437 382.213557 35.136826 0.996816
1209 1.066139e+13 0.452321 229.512024 380.362922 4.312500 0.999939
750 3.015490e+12 0.296910 146.618423 262.608996 21.145544 0.995517
786 6.878595e+12 0.390840 176.450165 312.944828 3.741278 0.999942
1860 8.804977e+12 0.424377 193.596603 355.226114 15.047859 0.999623
1542 4.654584e+12 0.343133 160.436844 306.444934 4.358140 0.999690
804 5.374403e+12 0.359975 200.315460 321.888158 35.604744 0.986416
1554 4.971305e+12 0.350748 202.907242 334.624116 8.599122 0.999469
1668 1.275818e+13 0.480221 240.445938 407.318514 4.620898 0.999949
528 3.796432e+12 0.320598 161.242676 260.064501 11.118155 0.999832
9372 3.650027e+13 0.681710 324.578217 605.954278 15.246609 0.998100
1338 1.240569e+13 0.475761 238.692001 417.902081 3.507827 0.999823
903 2.924582e+12 0.293892 162.567780 251.002653 32.006126 0.961646
465 5.580620e+12 0.364532 171.616119 296.396003 1.546317 0.999991
1194 5.765484e+12 0.368516 177.976318 310.266138 4.254885 0.999602
459 4.609649e+12 0.342016 159.838379 277.408751 0.279965 1.000000
3396 2.129434e+13 0.569633 287.769257 467.848445 4.203471 0.999884
1134 5.788194e+12 0.369001 192.157608 312.466234 10.482336 0.998824
2097 1.114509e+13 0.459052 203.791077 373.514996 1.577423 0.999983
5316 4.136405e+13 0.710745 338.044495 571.595871 17.495592 0.996572
984 5.425155e+12 0.361111 181.809433 308.850864 1.906615 1.000000
2220 1.660100e+13 0.524260 242.911301 433.644843 2.238065 0.999833
22719 1.694671e+14 1.137251 546.479919 972.036032 99.355217 0.974425
1182 1.137142e+13 0.462127 224.949295 388.523240 2.149293 0.999787
1878 1.172081e+13 0.466824 193.259109 371.759731 6.399606 0.997533
22719 1.694671e+14 1.137251 546.479919 972.036032 99.355217 0.974425
822 4.669915e+12 0.343512 156.681778 290.525700 7.912497 0.999749
1332 1.403164e+13 0.495674 245.257523 425.717811 2.955349 0.999927
5079 2.617555e+13 0.610187 269.096619 504.504885 35.688705 0.998899
516 5.028406e+12 0.352092 151.733627 285.514309 2.312780 0.999930
1368 1.239120e+13 0.475546 230.465683 412.908406 13.230863 0.999022
639 2.352339e+12 0.273321 135.167847 247.717051 5.696439 0.999688
1023 9.804661e+12 0.439867 206.941071 355.181314 2.960139 0.999973
1392 6.461628e+12 0.382780 175.542023 325.937771 3.269244 0.999790
594 4.092500e+12 0.328727 143.292664 256.873005 1.280416 0.999988
3939 3.235893e+13 0.654890 318.424133 529.869526 1.857122 0.999996
1458 6.819686e+12 0.389728 177.425079 363.248508 10.836989 0.999642
597 4.790487e+12 0.346446 157.583801 276.109452 1.905576 0.999984
633 4.714881e+12 0.344604 151.358475 275.685889 3.177117 0.999900
2889 2.031321e+13 0.560741 275.824371 474.004261 12.029379 0.999152
837 5.125941e+12 0.354352 210.266129 306.055625 8.349385 0.999831
21213 4.395390e+13 0.725264 384.077637 657.270667 21.440069 0.998666
3939 3.235893e+13 0.654890 318.424133 529.869526 1.857122 0.999996
