# d_radial[Mpc] v_radial[km/s] ra deg MAG_B MAG_K
39673.042969 2405.272461 132.654251 -39.273537 -21.349386 -24.545897
41939.218750 2826.375000 135.057205 -39.954372 -21.584946 -24.958851
41406.953125 2826.743896 135.106705 -39.485081 -19.948149 -23.696499
40245.722656 2627.926514 137.486649 -43.072979 -20.569044 -24.436958
39647.187500 2653.124268 134.520126 -40.180328 -21.606487 -24.592787
40510.007812 2437.822510 136.455551 -39.735001 -20.379068 -23.881086
41221.140625 3122.976807 134.565613 -41.225414 -21.400501 -24.581917
41397.105469 2437.773682 132.210632 -40.004326 -20.392109 -23.519951
40654.988281 2523.533691 135.005325 -41.761543 -19.885597 -23.666605
40578.644531 2445.088867 134.609406 -40.036594 -20.269983 -24.065680
40194.015625 2473.686523 135.882477 -42.809265 -20.800920 -23.989922
40621.222656 2399.245605 135.959122 -41.946873 -20.379955 -23.841236
40600.660156 3078.524902 135.046280 -41.581596 -19.374561 -23.280535
40863.125000 2718.429443 133.578629 -39.896412 -20.464037 -23.403465
40271.402344 2208.768066 132.540192 -40.132202 -19.966280 -22.710205
40796.808594 2642.094971 135.559479 -39.693596 -18.586834 -22.337944
41167.562500 2520.070312 136.940323 -42.531239 -19.491909 -22.558929
40237.914062 2918.148926 135.293015 -41.591854 -19.405836 -23.041100
41005.804688 2350.969727 135.720428 -40.379810 -19.045033 -22.036047
39927.144531 3495.218750 136.587158 -41.678421 -18.773569 -21.745621
41402.597656 2197.716064 134.212051 -39.739357 -18.480785 -22.129471
40505.242188 2172.948730 132.615326 -40.522110 -18.633465 -21.282122
41655.105469 2772.045410 132.118057 -39.566525 -17.691307 -21.304642
39737.441406 2789.626953 134.551682 -39.998165 -18.914026 -22.169634
41154.398438 2300.371338 136.039642 -41.973347 -18.411665 -21.350531
40273.382812 2264.515137 133.551270 -40.400723 -19.039202 -21.963955
40573.191406 2792.647949 136.495575 -41.455921 -18.609320 -22.479038
40690.851562 2967.192139 133.251114 -39.757961 -18.484758 -21.552843
40721.828125 3165.270508 133.873596 -40.591534 -19.163471 -22.093590
40335.332031 3101.450928 133.983963 -40.497578 -18.699774 -22.008215
41715.195312 3262.417480 134.609604 -39.537552 -18.099361 -21.038898
39825.886719 2802.039062 134.348007 -39.518646 -18.176525 -21.815815
40230.398438 2946.151123 135.571243 -40.973133 -18.439772 -22.184904
