 log10_L ,        log10_M
 8.74600 ,  9463563.81074
 8.74700 ,  9464104.81768
 8.74800 ,  9464645.79369
 8.74900 ,  9465186.73878
 8.75000 ,  9465727.65296
 8.75100 ,  9466268.53623
 8.75200 ,  9466809.38860
 8.75300 ,  9467350.21006
 8.75400 ,  9467891.00064
 8.75500 ,  9468431.76033
 8.75600 ,  9468972.48914
 8.75700 ,  9469513.18706
 8.75800 ,  9470053.85412
 8.75900 ,  9470594.49032
 8.76000 ,  9471135.09565
 8.76100 ,  9471675.67012
 8.76200 ,  9472216.21375
 8.76300 ,  9472756.72653
 8.76400 ,  9473297.20847
 8.76500 ,  9473837.65958
 8.76600 ,  9474378.07985
 8.76700 ,  9474918.46931
 8.76800 ,  9475458.82794
 8.76900 ,  9475999.15576
 8.77000 ,  9476539.45277
 8.77100 ,  9477079.71898
 8.77200 ,  9477619.95440
 8.77300 ,  9478160.15902
 8.77400 ,  9478700.33285
 8.77500 ,  9479240.47590
 8.77600 ,  9479780.58818
 8.77700 ,  9480320.66968
 8.77800 ,  9480860.72042
 8.77900 ,  9481400.74040
 8.78000 ,  9481940.72962
 8.78100 ,  9482480.68809
 8.78200 ,  9483020.61582
 8.78300 ,  9483560.51280
 8.78400 ,  9484100.37906
 8.78500 ,  9484640.21458
 8.78600 ,  9485180.01938
 8.78700 ,  9485719.79346
 8.78800 ,  9486259.53682
 8.78900 ,  9486799.24948
 8.79000 ,  9487338.93144
 8.79100 ,  9487878.58270
 8.79200 ,  9488418.20326
 8.79300 ,  9488957.79314
 8.79400 ,  9489497.35234
 8.79500 ,  9490036.88086
 8.79600 ,  9490576.37870
 8.79700 ,  9491115.84588
 8.79800 ,  9491655.28240
 8.79900 ,  9492194.68827
 8.80000 ,  9492734.06348
 8.80100 ,  9493273.40805
 8.80200 ,  9493812.72198
 8.80300 ,  9494352.00527
 8.80400 ,  9494891.25793
 8.80500 ,  9495430.47997
 8.80600 ,  9495969.67139
 8.80700 ,  9496508.83220
 8.80800 ,  9497047.96239
 8.80900 ,  9497587.06199
 8.81000 ,  9498126.13098
 8.81100 ,  9498665.16938
 8.81200 ,  9499204.17719
 8.81300 ,  9499743.15442
 8.81400 ,  9500282.10107
 8.81500 ,  9500821.01715
 8.81600 ,  9501359.90267
 8.81700 ,  9501898.75762
 8.81800 ,  9502437.58201
 8.81900 ,  9502976.37585
 8.82000 ,  9503515.13915
 8.82100 ,  9504053.87190
 8.82200 ,  9504592.57412
 8.82300 ,  9505131.24581
 8.82400 ,  9505669.88697
 8.82500 ,  9506208.49761
 8.82600 ,  9506747.07773
 8.82700 ,  9507285.62735
 8.82800 ,  9507824.14646
 8.82900 ,  9508362.63507
 8.83000 ,  9508901.09319
 8.83100 ,  9509439.52081
 8.83200 ,  9509977.91796
 8.83300 ,  9510516.28462
 8.83400 ,  9511054.62081
 8.83500 ,  9511592.92653
 8.83600 ,  9512131.20179
 8.83700 ,  9512669.44659
 8.83800 ,  9513207.66093
 8.83900 ,  9513745.84483
 8.84000 ,  9514283.99828
 8.84100 ,  9514822.12130
 8.84200 ,  9515360.21389
 8.84300 ,  9515898.27604
 8.84400 ,  9516436.30778
 8.84500 ,  9516974.30910
 8.84600 ,  9517512.28000
 8.84700 ,  9518050.22050
 8.84800 ,  9518588.13060
 8.84900 ,  9519126.01030
 8.85000 ,  9519663.85961
 8.85100 ,  9520201.67854
 8.85200 ,  9520739.46708
 8.85300 ,  9521277.22525
 8.85400 ,  9521814.95304
 8.85500 ,  9522352.65047
 8.85600 ,  9522890.31755
 8.85700 ,  9523427.95426
 8.85800 ,  9523965.56063
 8.85900 ,  9524503.13665
 8.86000 ,  9525040.68233
 8.86100 ,  9525578.19767
 8.86200 ,  9526115.68269
 8.86300 ,  9526653.13738
 8.86400 ,  9527190.56176
 8.86500 ,  9527727.95581
 8.86600 ,  9528265.31956
 8.86700 ,  9528802.65301
 8.86800 ,  9529339.95616
 8.86900 ,  9529877.22901
